job_id,company,role,location,work_mode,employment_type,experience_years,skills,salary_lpa,date_posted,skills_cleaned
1,Paytm,Data Scientist,Delhi,Onsite,Full-time,1,Machine Learning|Statistics|Tableau|Power BI,14.22,2024-07-12,"['tableau', 'machine learning', 'statistics', 'power bi']"
2,Infosys,Analytics Engineer,Mumbai,Remote,Internship,6,Python|Power BI|Tableau|Git,20.68,2024-10-27,"['git', 'tableau', 'python', 'power bi']"
3,Swiggy,Analytics Engineer,Remote,Onsite,Full-time,6,Git|Machine Learning|Airflow|Docker|Python,21.77,2023-10-12,"['machine learning', 'git', 'airflow', 'python', 'docker']"
4,Cognizant,Business Analyst,Remote,Hybrid,Internship,5,Power BI|Airflow|SQL|Pandas,15.79,2023-02-14,"['pandas', 'sql', 'airflow', 'power bi']"
5,Cognizant,BI Analyst,Remote,Remote,Internship,8,Airflow|Power BI|Machine Learning|Excel,29.66,2024-01-06,"['machine learning', 'excel', 'airflow', 'power bi']"
6,Zoho,Business Analyst,Hyderabad,Onsite,Contract,1,Statistics|AWS|SQL|Docker,5.83,2024-10-12,"['statistics', 'sql', 'aws', 'docker']"
7,Accenture,Business Analyst,Mumbai,Remote,Full-time,5,NumPy|Machine Learning|Spark|Azure|Docker|SQL,21.1,2023-09-08,"['machine learning', 'numpy', 'sql', 'spark', 'azure', 'docker']"
8,Razorpay,BI Analyst,Hyderabad,Onsite,Full-time,6,Statistics|Azure|Docker|Airflow|Git|Python,18.45,2023-10-02,"['statistics', 'git', 'airflow', 'azure', 'python', 'docker']"
9,Accenture,Business Analyst,Hyderabad,Hybrid,Internship,5,ETL|Airflow|Git|Azure|Statistics,15.74,2024-07-28,"['statistics', 'git', 'airflow', 'etl', 'azure']"
10,Accenture,Senior Data Analyst,Remote,Onsite,Contract,6,Airflow|Spark|Tableau|Power BI|Machine Learning|Statistics|SQL|Python,22.38,2024-11-27,"['machine learning', 'statistics', 'sql', 'airflow', 'power bi', 'spark', 'tableau', 'python']"
11,Paytm,Analytics Engineer,Delhi,Onsite,Internship,1,Airflow|Git|Machine Learning|Excel|ETL|Python|Azure,10.65,2023-10-01,"['machine learning', 'excel', 'git', 'airflow', 'etl', 'python', 'azure']"
12,Razorpay,Senior Data Analyst,Chennai,Remote,Internship,1,Docker|Pandas|Statistics|Python|Spark|Airflow,7.04,2023-04-19,"['statistics', 'airflow', 'spark', 'pandas', 'python', 'docker']"
13,Freshworks,Senior Data Analyst,Mumbai,Hybrid,Contract,8,NumPy|Excel|Pandas|Airflow|Power BI|Machine Learning|Spark|Python,25.56,2024-01-07,"['machine learning', 'numpy', 'excel', 'airflow', 'power bi', 'spark', 'pandas', 'python']"
14,Razorpay,Business Analyst,Remote,Remote,Contract,0,Power BI|Data Warehousing|Spark|Statistics|SQL,4.38,2024-11-06,"['statistics', 'sql', 'power bi', 'spark', 'data warehousing']"
15,Swiggy,Analytics Engineer,Delhi,Onsite,Internship,2,Data Warehousing|Docker|Tableau|Machine Learning|Airflow|Spark,11.44,2024-11-18,"['machine learning', 'airflow', 'spark', 'data warehousing', 'tableau', 'docker']"
16,Cognizant,Senior Data Analyst,Mumbai,Onsite,Internship,7,Git|Tableau|ETL|Data Warehousing|SQL|Pandas|Python|AWS,20.66,2023-03-14,"['aws', 'git', 'sql', 'pandas', 'etl', 'data warehousing', 'tableau', 'python']"
17,Microsoft,Data Scientist,Mumbai,Onsite,Internship,0,Power BI|SQL|Docker|Pandas|ETL,8.51,2023-08-08,"['sql', 'power bi', 'etl', 'pandas', 'docker']"
18,Flipkart,Business Analyst,Delhi,Hybrid,Internship,7,ETL|Docker|Tableau|SQL|Data Warehousing,21.27,2024-04-23,"['sql', 'etl', 'data warehousing', 'tableau', 'docker']"
19,Amazon,Data Analyst,Bengaluru,Onsite,Full-time,1,Airflow|Azure|Data Warehousing|Docker,7.57,2024-04-04,"['data warehousing', 'azure', 'docker', 'airflow']"
20,Paytm,BI Analyst,Bengaluru,Onsite,Full-time,2,Git|Statistics|Docker|SQL|ETL|Machine Learning,15.5,2023-01-16,"['machine learning', 'statistics', 'git', 'sql', 'etl', 'docker']"
21,Zoho,Business Analyst,Pune,Onsite,Contract,2,ETL|Data Warehousing|Tableau|Docker|NumPy|Python|Power BI,8.3,2024-04-10,"['numpy', 'power bi', 'etl', 'data warehousing', 'tableau', 'python', 'docker']"
22,Flipkart,BI Analyst,Bengaluru,Remote,Contract,8,Excel|NumPy|Data Warehousing|Tableau|Python|AWS|Machine Learning,29.17,2024-08-21,"['machine learning', 'numpy', 'aws', 'excel', 'data warehousing', 'tableau', 'python']"
23,Paytm,Analytics Engineer,Mumbai,Onsite,Full-time,8,SQL|Power BI|Docker|ETL|Data Warehousing,25.09,2024-02-18,"['sql', 'power bi', 'etl', 'data warehousing', 'docker']"
24,Paytm,Analytics Engineer,Chennai,Onsite,Contract,3,SQL|Power BI|NumPy|Azure|AWS|Airflow|Machine Learning|Pandas,15.15,2023-09-02,"['machine learning', 'numpy', 'aws', 'sql', 'airflow', 'power bi', 'pandas', 'azure']"
25,Cognizant,BI Analyst,Pune,Remote,Internship,2,Git|Azure|Data Warehousing|Airflow|SQL|Python,11.99,2023-03-17,"['git', 'sql', 'airflow', 'data warehousing', 'python', 'azure']"
26,Freshworks,Business Analyst,Chennai,Onsite,Internship,8,Excel|Spark|Git|SQL|Tableau|Pandas,25.0,2023-11-06,"['excel', 'git', 'sql', 'pandas', 'spark', 'tableau']"
27,TCS,Data Scientist,Chennai,Onsite,Contract,8,AWS|Tableau|Git|Power BI,28.73,2023-06-09,"['git', 'tableau', 'aws', 'power bi']"
28,Zoho,Senior Data Analyst,Bengaluru,Remote,Full-time,3,NumPy|Machine Learning|ETL|Statistics|Excel|Python,18.99,2023-02-15,"['machine learning', 'numpy', 'statistics', 'excel', 'etl', 'python']"
29,TCS,Senior Data Analyst,Bengaluru,Onsite,Internship,2,Pandas|Git|Machine Learning|Spark|NumPy|ETL,15.34,2023-06-02,"['machine learning', 'numpy', 'git', 'spark', 'etl', 'pandas']"
30,Amazon,Data Analyst,Hyderabad,Remote,Internship,5,Excel|Docker|Power BI|Python|Data Warehousing|Pandas|ETL|Spark,18.5,2023-12-29,"['excel', 'power bi', 'spark', 'etl', 'data warehousing', 'pandas', 'python', 'docker']"
31,Flipkart,BI Analyst,Hyderabad,Remote,Internship,2,Pandas|Data Warehousing|Git|NumPy|Python,11.35,2024-02-26,"['numpy', 'git', 'data warehousing', 'pandas', 'python']"
32,Walmart,Data Scientist,Hyderabad,Onsite,Contract,3,Pandas|Tableau|NumPy|Docker|Python|Statistics,16.76,2023-12-25,"['numpy', 'statistics', 'pandas', 'tableau', 'python', 'docker']"
33,Razorpay,Business Analyst,Remote,Onsite,Internship,3,NumPy|Airflow|Pandas|Excel,10.84,2024-10-18,"['numpy', 'excel', 'airflow', 'pandas']"
34,TCS,BI Analyst,Chennai,Onsite,Internship,8,Python|Tableau|Git|Excel|Power BI|AWS,24.29,2023-12-20,"['aws', 'excel', 'git', 'power bi', 'tableau', 'python']"
35,Razorpay,Senior Data Analyst,Bengaluru,Remote,Full-time,6,Data Warehousing|Tableau|NumPy|AWS|ETL|Excel|Python|Git,22.62,2024-11-17,"['numpy', 'aws', 'excel', 'git', 'etl', 'data warehousing', 'tableau', 'python']"
36,Microsoft,Senior Data Analyst,Bengaluru,Remote,Contract,6,Azure|Data Warehousing|ETL|Docker,22.52,2024-11-13,"['data warehousing', 'docker', 'etl', 'azure']"
37,Cognizant,Senior Data Analyst,Delhi,Onsite,Internship,6,Excel|NumPy|ETL|Azure|Git|Docker,19.21,2024-02-20,"['numpy', 'excel', 'git', 'docker', 'etl', 'azure']"
38,Freshworks,Data Analyst,Chennai,Hybrid,Internship,4,NumPy|Docker|Airflow|AWS|ETL|Azure,13.83,2023-08-07,"['numpy', 'aws', 'airflow', 'azure', 'etl', 'docker']"
39,Paytm,BI Analyst,Remote,Onsite,Full-time,2,AWS|Azure|SQL|Docker,8.43,2023-07-23,"['azure', 'sql', 'aws', 'docker']"
40,Swiggy,Data Analyst,Mumbai,Onsite,Contract,0,ETL|Power BI|Statistics|NumPy|Azure,4.59,2024-05-21,"['numpy', 'statistics', 'power bi', 'etl', 'azure']"
41,Deloitte,Business Analyst,Remote,Remote,Full-time,2,Tableau|Docker|Data Warehousing|Power BI,10.39,2024-07-24,"['data warehousing', 'tableau', 'docker', 'power bi']"
42,Deloitte,Data Analyst,Remote,Remote,Contract,7,Git|Azure|Airflow|Statistics|AWS,22.78,2024-07-15,"['statistics', 'aws', 'git', 'airflow', 'azure']"
43,Microsoft,Business Analyst,Delhi,Onsite,Full-time,7,Machine Learning|Statistics|Docker|Azure|Excel|Data Warehousing|ETL,24.32,2023-10-20,"['machine learning', 'statistics', 'excel', 'docker', 'etl', 'data warehousing', 'azure']"
44,Amazon,Senior Data Analyst,Hyderabad,Remote,Contract,5,Power BI|Excel|Data Warehousing|Tableau|NumPy|Spark,16.69,2024-02-22,"['numpy', 'excel', 'power bi', 'spark', 'data warehousing', 'tableau']"
45,Zoho,Analytics Engineer,Remote,Remote,Contract,7,SQL|NumPy|Docker|ETL|Git|AWS|Python,22.93,2023-12-27,"['numpy', 'aws', 'git', 'sql', 'etl', 'python', 'docker']"
46,Paytm,BI Analyst,Chennai,Remote,Contract,6,Statistics|ETL|Tableau|Excel|NumPy|Data Warehousing|Python|Airflow,21.39,2023-06-19,"['numpy', 'statistics', 'excel', 'airflow', 'etl', 'data warehousing', 'tableau', 'python']"
47,Walmart,Business Analyst,Pune,Onsite,Contract,8,Airflow|Python|SQL|Azure,23.89,2023-02-21,"['sql', 'azure', 'python', 'airflow']"
48,Microsoft,BI Analyst,Chennai,Hybrid,Full-time,5,Git|Azure|Pandas|Airflow|NumPy,17.5,2024-04-26,"['numpy', 'git', 'airflow', 'pandas', 'azure']"
49,Infosys,Data Scientist,Remote,Remote,Full-time,8,Spark|Statistics|Azure|SQL,30.26,2023-09-11,"['spark', 'statistics', 'sql', 'azure']"
50,Swiggy,Data Analyst,Hyderabad,Hybrid,Full-time,2,Excel|ETL|Azure|SQL|AWS,8.27,2024-01-13,"['aws', 'excel', 'sql', 'etl', 'azure']"
51,Zoho,Analytics Engineer,Mumbai,Remote,Full-time,1,AWS|Tableau|Data Warehousing|Python|Excel,7.69,2023-07-23,"['aws', 'excel', 'data warehousing', 'tableau', 'python']"
52,Flipkart,Analytics Engineer,Remote,Onsite,Contract,3,AWS|Tableau|Airflow|Data Warehousing,11.6,2024-11-08,"['airflow', 'tableau', 'aws', 'data warehousing']"
