role,required_skills
data scientist,"python, machine learning, pandas, numpy, tensorflow"
data analyst,"sql, excel, python, power bi"
fullstack developer,"react, node, javascript, api"
product manager,"product strategy, roadmap, analytics, stakeholder management"
backend developer,"java, spring, sql, api"
frontend developer,"html, css, javascript, react"
machine learning engineer,"python, scikit-learn, tensorflow, data preprocessing"
devops engineer,"docker, kubernetes, aws, ci/cd"
cloud engineer,"aws, azure, gcp, networking"
mobile app developer,"flutter, dart, firebase, api"
android developer,"kotlin, java, android sdk, rest api"
ios developer,"swift, xcode, ios sdk, api"
ui ux designer,"figma, wireframing, prototyping, user research"
business analyst,"requirements gathering, sql, stakeholder communication, documentation"
software engineer,"java, data structures, algorithms, git"
qa engineer,"selenium, test cases, automation, jira"
cybersecurity analyst,"network security, siem, penetration testing, firewalls"
database administrator,"mysql, postgresql, backup, performance tuning"
data engineer,"python, spark, etl, hadoop"
ai engineer,"python, deep learning, nlp, pytorch"
blockchain developer,"solidity, ethereum, smart contracts, web3"
game developer,"unity, c#, game design, physics"
embedded systems engineer,"c, microcontrollers, iot, rtos"
network engineer,"routing, switching, cisco, troubleshooting"
system administrator,"linux, bash, server management, monitoring"
technical support engineer,"troubleshooting, networking, customer support, documentation"
it support specialist,"hardware, software installation, ticketing systems, troubleshooting"
scrum master,"agile, sprint planning, jira, team facilitation"
project manager,"planning, budgeting, risk management, communication"
seo specialist,"keyword research, analytics, content strategy, backlinks"
digital marketing specialist,"seo, sem, google ads, social media"
content writer,"copywriting, seo, research, editing"
graphic designer,"photoshop, illustrator, creativity, branding"
video editor,"premiere pro, after effects, storytelling, editing"
hr manager,"recruitment, payroll, employee relations, compliance"
recruiter,"talent sourcing, interviewing, linkedin, communication"
sales manager,"negotiation, crm, lead generation, communication"
marketing manager,"campaign management, branding, analytics, strategy"
operations manager,"process improvement, logistics, planning, leadership"
supply chain analyst,"inventory management, forecasting, excel, logistics"
financial analyst,"financial modeling, excel, forecasting, reporting"
accountant,"tally, bookkeeping, taxation, financial reporting"
investment analyst,"equity research, valuation, financial modeling, market analysis"
risk analyst,"risk assessment, compliance, data analysis, reporting"
actuarial analyst,"statistics, probability, excel, modeling"
research analyst,"data collection, analysis, reporting, statistics"
economist,"econometrics, research, data analysis, forecasting"
statistician,"r, statistics, hypothesis testing, modeling"
bi analyst,"power bi, sql, dashboards, data modeling"
etl developer,"informatica, sql, data warehousing, etl"
big data engineer,"hadoop, spark, scala, hive"
nlp engineer,"python, nlp, transformers, text processing"
computer vision engineer,"opencv, python, deep learning, image processing"
robotics engineer,"ros, c++, automation, sensors"
automation engineer,"selenium, python, testing, scripting"
site reliability engineer,"linux, monitoring, cloud, automation"
security engineer,"encryption, firewalls, vulnerability assessment, siem"
penetration tester,"ethical hacking, kali linux, vulnerability scanning, reporting"
cloud architect,"aws, solution design, networking, security"
solutions architect,"system design, cloud, integration, architecture"
technical architect,"microservices, java, cloud, api"
product owner,"backlog management, agile, user stories, prioritization"
customer success manager,"crm, communication, onboarding, retention"
data architect,"data modeling, sql, data warehousing, governance"
ml ops engineer,"docker, kubernetes, mlflow, deployment"
ai researcher,"deep learning, experimentation, python, research"
business intelligence developer,"power bi, sql, dashboards, reporting"
erp consultant,"sap, oracle, implementation, business process"
sap consultant,"sap modules, configuration, implementation, support"
oracle dba,"oracle, backup, performance tuning, sql"
php developer,"php, laravel, mysql, api"
python developer,"django, flask, rest api, sql"
ruby on rails developer,"ruby, rails, postgresql, api"
go developer,"golang, microservices, rest api, concurrency"
c++ developer,"c++, stl, oops, debugging"
c# developer,".net, asp.net, sql server, api"
react developer,"react, redux, javascript, api"
angular developer,"angular, typescript, html, css"
vue developer,"vue.js, javascript, state management, api"
node.js developer,"node, express, mongodb, api"
wordpress developer,"wordpress, php, themes, plugins"
shopify developer,"shopify, liquid, ecommerce, api"
magento developer,"magento, php, ecommerce, mysql"
data governance analyst,"data quality, compliance, metadata, governance"
compliance officer,"regulations, auditing, reporting, risk management"
legal advisor,"legal research, documentation, compliance, negotiation"
medical coder,"icd coding, medical terminology, billing, compliance"
healthcare analyst,"health data, analytics, reporting, statistics"
bioinformatics analyst,"python, genomics, data analysis, statistics"
clinical data manager,"clinical trials, data validation, reporting, compliance"
pharmacovigilance specialist,"drug safety, reporting, compliance, analysis"
mechanical engineer,"cad, solidworks, manufacturing, design"
civil engineer,"autocad, site management, structural analysis, planning"
electrical engineer,"circuit design, plc, power systems, troubleshooting"
chemical engineer,"process design, safety, production, analysis"
aerospace engineer,"aerodynamics, cad, simulation, design"
automobile engineer,"automotive systems, cad, diagnostics, testing"
quality assurance manager,"quality control, iso standards, auditing, reporting"
production engineer,"manufacturing, process optimization, maintenance, planning"
maintenance engineer,"equipment maintenance, troubleshooting, safety, repair"
logistics coordinator,"shipment tracking, inventory, coordination, communication"
warehouse manager,"inventory control, logistics, supervision, reporting"
retail manager,"sales, inventory, customer service, management"
store supervisor,"team management, sales tracking, customer support, inventory"
customer service representative,"communication, crm, problem solving, support"
telecaller,"lead generation, communication, persuasion, crm"
business development executive,"lead generation, negotiation, crm, strategy"
entrepreneur,"strategy, leadership, innovation, finance"
startup founder,"fundraising, product vision, leadership, strategy"
technical writer,"documentation, api writing, editing, research"
instructional designer,"e-learning, content creation, curriculum design, assessment"
data visualization specialist,"tableau, power bi, storytelling, dashboards"
tableau developer,"tableau, sql, dashboards, reporting"
power platform developer,"power apps, power automate, power bi, dynamics"
salesforce developer,"apex, lightning, crm, integration"
salesforce administrator,"crm management, workflows, reporting, configuration"
crm analyst,"crm tools, analytics, reporting, customer insights"
growth hacker,"analytics, marketing automation, experimentation, seo"
social media manager,"content planning, analytics, engagement, branding"
brand manager,"branding, marketing strategy, campaigns, analytics"
public relations manager,"media relations, communication, branding, strategy"
event manager,"event planning, budgeting, coordination, logistics"
supply chain manager,"logistics, vendor management, forecasting, operations"
procurement manager,"vendor negotiation, sourcing, contracts, cost management"
data quality analyst,"data validation, cleansing, reporting, sql"
information security analyst,"risk assessment, security policies, monitoring, compliance"
cloud security engineer,"cloud security, iam, encryption, monitoring"
iot engineer,"iot devices, embedded c, networking, sensors"
ar vr developer,"unity, 3d modeling, c#, interaction design"
metaverse developer,"3d development, blockchain, unity, vr"
chatbot developer,"nlp, python, dialogflow, api"
prompt engineer,"llm, nlp, experimentation, ai tools"
ai product manager,"ai strategy, roadmap, analytics, stakeholder communication"
